Ax,Ay,Az,Gx,Gy,Gz,mov
10.9333,1.655,4.2991,-0.84,-5.95,3.29,falling
10.0687,1.6047,3.9111,1.89,-9.52,0.0,falling
11.4171,1.6358,3.7243,-1.61,-8.47,1.61,falling
10.8758,1.5903,3.7123,3.15,-2.59,0.35,falling
10.1812,1.5376,3.1495,0.84,-6.3,1.4,falling
10.0184,1.3101,3.3195,2.59,3.99,-2.66,falling
10.0495,1.2789,3.2692,2.8,-0.98,0.56,falling
10.0208,1.3244,3.3171,2.52,-7.07,3.71,falling
9.5178,1.3891,2.8141,3.71,-2.38,0.63,falling
7.118,0.9939,2.2034,1.75,-4.9,0.49,falling
5.4271,0.5341,1.7412,4.55,4.34,-1.89,falling
10.1788,1.3053,2.9914,5.95,2.52,8.68,falling
9.5202,1.3532,3.0034,1.89,2.45,-1.75,falling
9.6136,1.1855,2.9914,2.52,1.54,-0.14,falling
9.7022,1.437,2.9746,3.01,-5.32,1.05,falling
9.8124,1.1448,2.716,1.75,-3.92,1.82,falling
9.7118,1.2478,2.8046,1.47,-2.59,1.68,rising
9.7142,1.2215,2.8453,0.07,-1.19,0.63,rising
9.5058,1.1137,2.7902,0.84,1.4,1.4,rising
8.9382,1.1113,2.6704,-1.96,5.25,-0.7,rising
7.7239,0.7928,2.201,-4.06,-5.46,0.21,rising
6.6773,0.7161,2.0142,-4.69,0.77,-9.1,rising
8.4832,1.1568,2.2968,-2.87,0.77,6.58,rising
9.434,1.0514,3.0944,-5.88,4.13,-3.99,rising
10.2148,1.2885,3.3746,-4.97,11.13,-7.63,rising
10.0232,1.3029,3.5255,-3.92,0.7,-6.65,rising
10.0782,1.4346,3.5063,-2.66,-3.15,-1.82,rising
10.4471,1.461,3.7219,-1.89,0.7,-1.89,rising
10.289,1.4418,3.5063,-1.19,1.12,-0.49,rising
10.5333,1.6717,3.5207,-2.24,-2.73,1.89,rising
10.3321,1.5568,3.9015,-0.07,-3.71,2.45,rising
10.7273,1.516,3.7506,-0.49,-5.95,3.43,rising
9.5106,1.4274,3.1614,-1.47,-3.08,-0.91,rising
9.5418,1.3723,3.0656,-2.45,-0.28,-3.57,rising
9.4747,1.3795,3.0345,0.21,5.18,-1.68,rising
10.0184,1.4226,3.262,-1.33,-3.57,2.38,rising
10.6123,1.5663,3.6644,0.21,4.55,2.87,rising
12.7367,1.6047,3.8727,-2.38,-1.47,1.68,rising
11.6278,1.7412,4.0141,-2.52,2.52,-3.43,rising
9.913,1.5496,3.3985,0.0,16.1,-7.7,rising
9.319,0.982,3.3961,-1.4,4.76,-3.99,rising
9.7741,1.5041,3.4297,1.4,-0.7,1.75,rising
10.1788,1.6621,3.9039,7.0,-4.97,4.97,rising
9.3023,1.4538,3.48,7.28,-5.6,6.58,rising
8.5311,1.4394,2.8501,8.19,-12.88,7.0,rising
6.5671,0.7664,2.2896,8.33,-4.13,5.04,rising
7.4533,0.9508,2.2657,4.06,9.17,2.31,rising
10.0974,1.5855,3.2668,1.12,-6.16,5.11,rising
9.3813,1.2071,3.0776,-0.42,1.68,-0.28,rising
9.6352,1.3963,2.9746,1.4,-1.96,2.1,rising
9.7381,1.2167,2.7902,0.42,-2.1,1.33,rising
9.6902,1.2574,2.9602,0.91,-1.89,0.91,falling
9.6328,1.2742,2.9028,0.49,-1.4,-0.14,falling
9.6208,1.2071,3.0441,-0.28,-0.07,1.19,falling
8.373,0.9365,2.5507,1.47,-0.84,5.74,falling
8.4137,0.8143,2.8932,-2.59,-2.45,5.95,falling
7.7,0.8478,2.201,-5.25,11.83,-13.16,falling
8.7155,0.9724,2.7447,-4.27,4.76,-1.75,falling
9.2544,1.2406,3.2644,-2.03,9.17,-4.62,falling
10.0591,1.5376,3.5925,-1.96,0.91,-3.92,falling
10.0591,1.425,3.6452,-0.49,-0.21,-2.1,falling
9.7142,1.2957,3.5566,-1.96,-2.52,-1.47,falling
9.8986,1.425,3.5877,-0.42,-6.23,-0.35,falling
10.2603,1.5304,3.6285,-0.14,-2.03,-1.12,falling
10.3824,1.6813,3.7003,-0.7,-1.47,0.35,falling
10.2531,1.5639,3.5542,0.07,0.0,-0.49,falling
10.1908,1.5256,3.6955,-1.68,2.73,-3.57,falling
10.2794,1.4562,3.456,-2.87,-2.52,2.03,falling
10.1597,1.4131,3.5303,-0.98,-4.06,0.98,falling
9.7262,1.4418,3.2381,-0.14,2.59,-1.75,falling
9.4819,1.3412,3.2357,-0.49,0.42,-0.63,falling
9.537,1.3652,3.2692,0.63,0.63,0.07,falling
9.7286,1.4562,3.2716,-0.07,-1.33,0.14,falling
9.5944,1.4729,3.286,-0.28,0.84,-0.28,falling
9.5873,1.3843,3.1303,-0.91,0.63,-0.91,falling
9.8914,1.5687,3.2165,-0.91,-1.47,-0.49,falling
9.628,1.4969,3.3051,0.0,1.12,1.12,falling
9.6136,1.4346,3.3411,0.07,-1.26,1.12,falling
10.0447,1.425,3.4081,-0.77,-3.29,1.47,falling
11.6087,1.6981,3.9542,-1.61,-5.95,3.01,falling
12.0972,1.8178,4.2607,-1.61,4.97,-3.29,falling
9.7837,1.5017,3.6285,-6.02,6.65,-3.78,falling
9.4292,1.2861,3.5135,-4.34,13.16,-7.0,falling
9.7477,1.6238,3.6931,0.42,1.54,2.94,falling
10.2938,1.4849,3.8632,2.38,-8.68,6.02,falling
10.4255,1.655,3.8416,2.66,-8.89,4.41,falling
9.5322,1.2215,3.2333,7.98,-1.89,5.39,falling
5.7624,0.7688,1.9016,9.87,-2.52,1.19,falling
5.4702,0.7496,1.9543,3.57,2.8,-4.55,falling
10.2028,1.8585,3.3626,3.71,15.12,5.39,falling
9.6687,1.6142,3.9135,-3.5,-2.1,-5.04,falling
9.3573,1.5975,2.898,2.45,0.63,2.45,falling
9.6376,1.3723,3.4632,0.7,-10.92,3.43,rising
9.537,1.552,3.3482,0.0,-0.77,1.33,rising
9.6711,1.4634,3.2596,0.14,-0.49,1.12,rising
9.5633,1.346,3.3482,0.35,-0.63,1.68,rising
9.5777,1.4442,3.2405,0.42,-2.66,1.12,rising
9.6519,1.3197,3.2381,0.63,-3.92,0.84,rising
9.5681,1.3292,3.1135,0.28,0.56,-0.07,rising
9.5082,1.3244,3.1135,0.28,-0.84,-0.84,rising
9.6112,1.3556,3.1518,0.28,-5.46,0.63,rising
9.7381,1.4155,3.1758,-1.05,2.73,0.07,rising
9.6064,1.3412,3.2021,-0.84,5.81,-0.7,rising
9.6184,1.3891,3.3099,-1.68,3.36,-1.89,rising
9.5082,1.4442,3.4345,-4.2,10.64,-4.41,rising
9.3981,1.4107,3.3674,-4.2,4.41,-0.77,rising
9.3957,1.3604,3.5734,-7.0,-0.28,0.91,rising
9.4148,1.3244,3.5542,1.96,-6.09,3.92,rising
9.4196,1.1257,3.7051,1.54,0.7,3.99,rising
9.4843,1.2047,3.4345,1.82,2.8,1.19,rising
9.3286,1.176,3.4824,-1.19,-0.63,-1.47,rising
9.3023,1.2526,3.4057,0.84,-7.28,4.83,rising
8.0113,0.9412,3.0752,-3.57,1.75,-2.8,rising
7.0054,0.855,2.3663,-1.82,2.38,-9.03,rising
7.7982,1.0394,2.8429,-0.07,-0.28,0.35,rising
9.9202,1.4993,3.6955,-2.03,-4.34,1.12,rising
10.0926,1.4514,3.6931,-3.01,5.39,-1.61,rising
9.6591,1.3867,3.4369,-3.43,-4.34,-0.28,rising
9.834,1.4849,3.4488,-2.03,-5.11,-0.07,rising
10.368,1.4274,3.6261,0.42,-5.81,-0.07,rising
10.301,1.5184,3.5327,0.42,-0.14,-0.14,rising
10.4016,1.4945,3.6308,-0.28,-0.77,0.7,rising
10.1549,1.4658,3.8153,-0.28,8.47,-2.66,rising
10.2124,1.6071,3.9781,0.84,3.64,0.98,rising
11.0195,1.6238,3.9925,-1.89,-9.94,1.82,rising
9.4292,1.267,3.5039,-0.63,-2.45,-0.49,rising
9.2855,1.2023,3.3506,-0.49,11.41,-2.52,rising
9.0029,1.2885,3.2333,-1.4,-2.38,-0.35,rising
9.1514,1.5256,3.4464,-0.56,-6.65,1.54,rising
9.7837,1.4514,3.5303,-2.03,7.63,-3.78,rising
10.3585,1.4586,3.7985,-1.89,-2.45,0.49,rising
12.0278,1.6142,4.438,-1.89,-5.25,4.48,rising
12.126,1.8466,4.6032,1.75,-7.56,2.17,rising
10.6842,1.4658,3.7817,-3.36,6.37,-3.15,rising
9.5202,1.152,3.1854,0.07,0.7,3.29,rising
10.0423,1.3197,3.6452,-3.57,-8.61,7.84,rising
10.1309,1.2837,3.2572,11.55,10.85,0.56,rising
9.0699,1.5616,3.2812,5.18,-11.13,6.09,rising
8.2508,0.7592,2.4142,0.0,-1.33,2.24,rising
5.3289,0.8646,1.5663,4.97,0.7,-2.87,rising
7.5635,0.7616,2.5507,3.85,12.95,3.85,rising
10.1764,1.4921,3.5327,0.0,-7.7,-3.29,rising
9.5082,1.2406,3.0537,-0.98,8.33,-1.75,rising
9.4915,1.4849,3.0201,0.98,-8.12,4.97,rising
9.5298,1.3867,3.0608,-5.18,0.63,1.68,falling
9.5561,0.9628,3.2548,-4.06,-9.73,3.29,falling
9.513,0.8407,3.0776,-3.36,1.47,-0.42,falling
10.5237,1.6214,3.0848,3.64,-11.62,0.56,falling
9.2831,1.1376,2.9435,-1.26,25.48,-2.73,falling
7.1012,0.7257,2.5459,-8.4,1.75,-10.36,falling
12.526,2.8405,4.5649,9.73,18.76,14.35,falling
6.5432,0.5053,2.9243,-0.07,-7.77,-0.35,falling
9.2639,1.3125,3.8727,-3.01,7.0,-0.07,falling
8.8424,1.1281,4.9074,-12.88,44.8,0.0,falling
9.0412,0.5461,5.9468,-4.69,76.02,9.94,falling
8.1359,0.8526,4.3853,-2.24,30.1,-3.71,falling
6.5408,0.2491,2.9052,-12.11,-99.68,-5.81,falling
9.3573,1.8274,6.3995,21.42,-88.27,-35.42,falling
10.7991,0.855,3.7889,-39.48,28.07,11.9,falling
7.4533,0.3449,3.5566,82.32,60.55,49.0,falling
9.4388,-10.665,10.5046,-76.65,143.9899,99.54,falling
5.9756,-5.2523,-0.5173,-189.3499,288.4699,-19.25,falling
0.8526,-0.8886,10.5716,42.28,316.3999,-122.57,falling
-10.7177,-0.8742,14.0444,23.94,151.06,-212.7999,falling
-12.3224,1.2191,8.8735,-73.99,-41.16,21.49,falling
-11.9511,0.7353,5.9253,-182.9799,-103.74,224.6299,falling
-8.634,-12.1236,13.642,-209.4399,-234.3599,250.3899,falling
0.0192,-16.6574,5.748,-34.44,-350.0699,14.07,falling
3.0441,-8.8927,0.7281,-23.38,-221.8999,-198.6599,falling
4.929,0.9508,3.3937,78.47,27.23,-180.4599,falling
6.0642,13.2612,6.3612,68.95,-28.56,-30.66,falling
8.6317,1.4107,3.638,-36.61,-13.44,-11.55,falling
6.2797,3.1063,3.9877,-0.28,-33.25,-25.76,falling
7.894,5.1493,5.9253,112.7,7.21,-0.63,falling
8.3658,3.6764,4.2416,25.34,-20.72,-37.03,falling
8.7275,2.4381,6.3612,-67.62,-18.97,10.36,falling
9.1418,-0.1581,5.0894,22.05,4.13,-2.8,falling
7.4389,1.8897,4.5338,7.35,6.16,11.76,falling
8.9071,4.0955,2.9052,97.72,-8.33,17.64,falling
9.9872,3.535,3.1758,39.06,-10.36,17.57,falling
7.9323,2.1723,7.0605,-80.99,-26.74,11.76,falling
8.9214,0.5628,3.2405,29.26,8.61,-1.68,falling
9.0651,1.6717,2.4765,-22.96,7.21,-2.8,falling
9.8962,2.395,1.1712,-39.55,-3.71,-9.66,falling
8.5502,1.9974,5.5373,-27.58,-45.64,-5.32,falling
9.8244,1.3628,3.2333,-40.46,20.44,-4.48,falling
9.6447,1.3292,2.2178,-4.2,35.84,23.31,falling
9.9393,-0.8191,4.2895,75.81,22.4,23.87,falling
9.4244,3.1087,2.9794,49.07,3.92,11.34,falling
9.1562,1.8873,6.2606,-74.69,-25.97,-10.78,falling
7.7215,0.4862,3.6788,-4.13,-2.45,-6.44,falling
9.1298,1.3556,4.3637,4.97,-2.94,-0.7,falling
9.4651,1.631,3.9829,-5.67,-8.19,-3.92,falling
9.5849,1.4873,3.8344,3.57,-22.54,2.66,falling
9.4196,1.6214,3.4416,7.77,-6.51,4.34,falling
9.4891,1.6166,3.1974,2.94,-9.87,1.82,falling
9.4795,1.6214,3.2141,1.61,-3.99,0.14,falling
9.628,1.6238,3.068,1.54,-1.61,-0.28,falling
9.604,1.6669,3.0441,7.14,1.68,1.75,falling
9.5561,1.4777,3.1471,-1.68,4.27,-0.63,falling
9.64,1.5879,3.1902,-0.14,2.66,0.28,falling
9.6208,1.6957,3.1327,1.61,0.77,-0.07,falling
9.5322,1.6214,3.2285,1.19,0.28,-1.26,falling
9.5849,1.6358,3.2429,0.42,-0.63,-0.14,falling
9.5513,1.6095,3.2644,-0.35,0.0,0.56,falling
9.5465,1.5927,3.2524,-1.19,0.07,-0.7,falling
9.5082,1.528,3.2716,-0.42,0.07,0.0,falling
9.4579,1.5184,3.2213,1.82,0.77,-1.05,falling
9.5274,1.6142,3.2381,-0.98,0.49,0.98,falling
9.5442,1.5663,3.3123,-0.42,-1.19,0.56,falling
9.5394,1.5424,3.2309,-0.49,-1.82,1.26,falling
9.5777,1.5711,3.2357,0.14,-2.45,0.7,falling
9.5849,1.5376,3.1686,0.0,-0.49,0.49,falling
9.6352,1.5041,3.2261,-0.07,-1.47,1.05,falling
9.5489,1.5759,3.1686,-0.28,0.35,-0.07,falling
9.7046,1.5544,3.1279,-0.35,0.42,-0.91,falling
9.5657,1.516,3.2045,-0.49,0.42,0.07,falling
9.5489,1.5544,3.2261,-0.49,1.12,-0.35,falling
9.5968,1.5639,3.195,0.7,0.91,-1.12,falling
9.5753,1.5472,3.2524,0.42,4.83,-1.26,falling
9.4939,1.5855,3.4081,1.12,2.52,-1.54,falling
9.4915,1.631,3.3123,0.42,0.98,-0.7,falling
9.5897,1.6885,3.3722,-2.03,-1.54,0.07,falling
9.4771,1.6933,3.4033,-0.56,7.0,-2.1,falling
9.4412,1.6454,3.3842,-1.54,-0.07,1.19,falling
9.513,1.5879,3.3842,-0.42,-1.75,0.77,falling
9.4795,1.6621,3.3554,0.35,-4.48,0.84,falling
9.4891,1.6526,3.377,0.56,-1.89,-0.07,falling
9.5825,1.71,3.3075,0.14,-0.49,0.91,falling
9.6112,1.6981,3.3219,0.28,-3.99,2.24,falling
9.5465,1.5663,3.2572,-0.14,-1.68,0.63,falling
9.4723,1.5831,3.1878,-0.49,-1.47,-0.07,falling
9.5513,1.6286,3.2453,-0.84,-0.07,0.42,falling
9.6136,1.6118,3.1734,-0.35,0.35,0.7,falling
9.5465,1.5759,3.2021,-0.14,1.05,-0.28,falling
9.6232,1.6095,3.2309,-0.28,-0.07,0.14,falling
9.513,1.552,3.1159,0.56,-6.02,2.38,falling
9.6807,1.6023,3.1447,0.63,-5.32,2.24,falling
9.786,1.5759,3.1135,1.05,2.87,-0.28,falling
9.6423,1.6047,3.1327,-0.07,0.07,-0.14,falling
9.6352,1.5184,3.0153,-0.49,1.33,1.47,falling
8.864,1.3484,2.7495,2.73,-1.26,2.17,rising
7.7359,1.3819,2.419,-4.62,4.2,-3.36,rising
7.3096,1.2454,2.4597,-5.46,-4.76,-10.78,rising
8.3778,1.437,2.7423,-1.33,10.22,-2.17,rising
9.0149,1.6981,3.0345,-4.27,-1.61,-0.77,rising
9.9489,1.7915,3.6045,-4.41,-4.06,-1.82,rising
9.4963,1.6382,3.3482,-1.4,4.34,-1.96,rising
9.7741,1.7843,3.3578,-2.59,-1.05,-1.96,rising
10.0735,2.0477,3.6045,-0.28,2.52,0.21,rising
10.5213,2.0094,3.6979,3.43,3.57,-0.35,rising
10.2674,2.007,3.5877,-0.14,-0.21,1.54,rising
10.8902,2.1507,3.9542,-0.49,2.03,1.4,rising
11.6542,2.316,4.0548,-1.54,-2.24,0.07,rising
9.5298,1.7579,3.2237,-1.89,-3.29,-0.07,rising
9.3957,1.8753,3.3434,-3.01,7.84,-0.98,rising
9.2232,1.9687,3.535,3.29,2.03,-0.14,rising
9.8483,1.8873,3.844,1.05,-5.95,2.45,rising
11.8649,2.4836,4.3877,1.47,0.77,1.61,rising
12.0996,2.1388,4.2512,-1.19,-3.43,3.36,rising
10.6794,1.7196,3.7889,-8.19,-4.41,0.14,rising
9.707,1.5472,3.7626,-2.17,7.77,3.78,rising
9.4723,1.5855,3.547,6.16,13.65,-1.33,rising
9.5513,1.6334,3.8967,0.91,1.12,1.05,rising
8.6939,1.7819,3.4273,8.12,-1.47,-1.89,rising
8.088,1.5831,3.0129,1.54,2.87,0.49,rising
6.1432,1.0514,2.4525,2.03,-12.18,-2.45,rising
6.3731,1.0825,2.5723,2.38,-2.66,-0.21,rising
10.0232,1.9591,3.5853,2.1,-3.5,5.95,rising
9.5921,1.8322,3.2692,-0.28,2.94,1.19,rising
9.5058,1.7316,3.3434,0.56,-3.08,2.38,rising
9.5394,1.6693,3.2453,1.47,-6.72,2.45,rising
9.5561,1.7196,3.3339,1.4,-2.87,3.29,rising
9.5202,1.5616,3.1518,0.7,-2.66,2.45,rising
9.5465,1.5208,3.4392,-0.91,-3.08,1.61,rising
9.5681,1.4921,3.0465,-0.7,-0.28,1.82,falling
9.1897,1.3963,2.9722,1.47,1.89,3.43,falling
7.3719,1.2742,2.316,-1.89,-3.64,-3.08,falling
6.8617,1.4035,2.4357,-4.06,-2.87,-4.83,falling
7.8437,1.1352,2.4836,-1.75,9.24,1.96,falling
8.9262,1.1975,2.9914,-2.8,-2.59,0.7,falling
9.8483,1.5639,3.1327,-2.45,-2.03,0.84,falling
10.004,1.7795,3.3291,-2.87,4.06,-3.71,falling
9.6112,1.5927,3.183,-1.61,1.12,-3.5,falling
10.0495,1.6502,3.456,-2.03,-6.58,0.07,falling
10.0615,1.746,3.2932,1.68,2.31,-0.35,falling
11.0746,1.9543,3.6261,0.49,-6.72,4.41,falling
12.7463,2.0885,4.2727,-0.14,-5.25,3.15,falling
10.9572,1.928,3.1351,2.73,1.26,1.05,falling
8.4616,1.2694,2.4908,-2.59,3.99,-7.28,falling
9.1059,2.0214,2.6417,-3.5,0.07,-1.19,falling
9.7118,1.837,3.2668,0.0,1.54,4.69,falling
10.3776,1.6597,3.4369,-1.19,0.91,0.7,falling
12.9714,2.3447,3.5686,-0.49,-5.53,0.56,falling
11.4338,2.1914,3.6907,-2.66,6.72,-3.85,falling
10.2459,1.7939,3.0752,-3.71,-1.61,-0.91,falling
9.5418,1.5496,3.377,-0.7,10.71,-2.66,falling
9.2735,1.7053,3.2836,4.97,12.32,-2.38,falling
9.9465,1.6238,3.5135,13.09,-7.21,0.0,falling
9.0891,1.6406,3.2285,2.73,-0.98,2.87,falling
8.4113,1.6238,2.6273,6.23,-8.05,5.6,falling
6.3109,1.0442,2.2633,4.55,-7.28,-2.45,falling
7.7335,1.2718,2.3639,0.35,7.84,7.98,falling
9.6543,1.7508,3.159,0.21,-18.06,7.84,falling
9.7741,1.54,2.9123,2.87,-1.47,2.66,falling
9.6711,1.643,2.7447,0.35,3.15,3.01,falling
9.707,1.3723,2.8429,-0.7,-1.12,0.07,falling
9.6902,1.4346,2.8453,-0.21,-3.43,1.05,falling
9.7597,1.4849,2.7543,-0.28,1.47,0.49,falling
9.7597,1.3652,2.7686,-0.35,0.91,0.77,falling
9.6256,1.425,2.8956,-0.56,1.89,-0.7,falling
9.5801,1.3963,2.9195,-1.47,0.91,-1.75,falling
9.5058,1.437,2.9962,0.14,0.56,1.19,falling
9.4172,1.3005,2.8022,-0.77,0.28,0.49,falling
9.81,1.4059,2.8477,-2.38,-3.78,-1.19,falling
10.095,1.4562,2.9363,-1.4,6.02,-2.87,rising
9.3645,1.5352,2.7926,-1.96,2.17,-2.87,rising
8.3874,1.176,2.6202,-0.21,-3.57,-0.21,rising
6.4689,1.0706,1.8969,-2.8,-1.96,-3.85,rising
7.0964,1.0945,2.2058,-3.36,9.66,-6.72,rising
9.9681,1.6358,3.3171,-2.52,5.04,0.14,rising
9.6471,1.8226,3.25,-4.27,-0.91,-6.65,rising
10.0184,1.7675,3.5087,-5.53,-0.84,-7.14,rising
10.0136,1.8585,3.2668,-0.63,-3.15,-0.91,rising
10.5525,1.9591,3.5542,2.03,-11.76,2.94,rising
10.8135,1.9903,3.3243,0.42,0.35,1.19,rising
10.7512,1.9112,3.0608,1.47,-1.54,0.84,rising
10.883,1.9543,3.3171,2.03,-1.82,3.36,rising
10.9165,1.9424,3.1758,0.91,-5.04,2.94,rising
9.6376,1.6358,2.9219,0.07,1.19,-0.84,rising
9.5442,1.4753,2.6657,-1.26,1.4,-2.87,rising
9.8196,1.71,2.9435,0.35,1.89,0.28,rising
9.6304,1.6478,3.1303,0.63,-1.68,0.91,rising
12.696,2.201,3.389,-2.17,-1.19,3.36,rising
11.8458,2.3112,3.8368,-3.22,6.3,-3.22,rising
10.5405,1.4969,3.4369,-5.46,-3.85,-3.57,rising
9.3861,1.6071,3.1758,-2.38,17.08,-1.82,rising
9.4627,1.6669,3.1111,6.3,3.92,3.36,rising
10.0902,1.8418,3.2932,10.92,-0.77,4.9,rising
9.3526,1.6262,3.262,4.76,-1.96,0.35,rising
8.9095,1.5687,2.7662,0.98,-7.98,1.47,rising
5.7552,0.8694,1.8849,0.56,-8.33,-4.76,rising
6.3851,1.0203,2.1938,-0.35,-0.49,1.4,rising
10.0998,1.825,3.1399,-0.56,2.66,3.43,rising
9.4867,1.528,3.0249,-0.91,7.28,-0.98,rising
9.4986,1.6765,3.0441,1.82,0.49,2.94,rising
9.5897,1.5424,3.1854,0.7,-4.76,1.54,rising
9.6376,1.6286,3.0081,-0.14,-1.26,1.19,rising
9.5705,1.5496,3.0824,0.63,3.22,0.21,rising
9.5873,1.5208,3.0632,-0.7,0.42,-0.21,rising
9.6328,1.6095,3.1159,-0.42,-1.82,1.75,rising
9.3406,1.5448,3.0177,-1.54,0.91,-0.49,rising
9.5585,1.6023,3.1686,-2.38,5.39,-2.17,rising
9.6926,1.6693,3.3291,-1.75,2.38,-2.24,rising
9.3837,1.6334,2.9842,-0.42,1.68,1.61,rising
8.955,1.5017,3.068,1.4,3.57,-0.42,falling
8.0976,1.4394,2.9076,-1.19,-0.91,-3.22,falling
7.039,1.3221,2.577,-1.4,3.78,-2.38,falling
7.8221,1.3628,2.9147,-1.19,7.49,4.34,falling
9.6447,1.8082,3.5638,-2.31,-1.75,-2.8,falling
9.7765,1.8058,3.5853,-2.52,-0.91,-4.69,falling
9.8914,1.8537,3.7027,-4.55,-3.71,-2.17,falling
10.0303,1.7915,3.5614,-3.99,-4.9,0.0,falling
10.2866,1.9256,3.6931,0.42,0.63,-1.82,falling
10.2124,1.9735,3.5422,-0.07,2.24,-0.56,falling
10.4686,2.0645,3.5327,1.19,2.03,-1.47,falling
10.2579,2.0885,3.7386,0.28,0.56,-1.61,falling
10.9357,2.1292,4.0859,-0.63,-5.74,3.15,falling
9.4148,1.8106,3.5638,-0.7,4.97,-0.77,falling
9.2448,1.6645,3.4416,-1.05,-3.36,-0.14,falling
9.3334,1.7699,3.0992,1.4,2.17,0.42,falling
9.513,1.8993,3.3818,0.63,-2.94,1.82,falling
9.501,1.8298,3.4249,-1.33,2.31,0.28,falling
9.5633,1.7579,3.3842,-0.42,-1.68,0.0,falling
10.4543,1.9088,3.7961,-0.42,1.68,5.11,falling
12.4661,2.2226,4.5721,-0.77,-3.22,-0.28,falling
11.6853,2.1292,3.947,-7.98,7.07,-3.92,falling
10.0591,2.0142,3.7889,-3.85,11.48,-7.28,falling
9.6926,1.7963,3.6165,-1.89,-3.43,5.04,falling
9.731,1.722,3.7147,8.75,-0.42,3.57,falling
9.4292,1.5831,3.3937,11.27,-8.47,3.22,falling
9.6902,1.5568,3.3411,4.2,-5.53,3.57,falling
6.9288,1.2574,2.2609,1.26,-2.87,-1.68,falling
5.5732,0.8598,2.1627,5.04,-11.97,-1.05,falling
9.6376,1.6118,2.9339,3.92,12.53,8.68,falling
9.537,1.6861,3.2979,-2.24,-5.18,-1.68,falling
9.5513,1.528,3.1734,-3.5,6.58,-4.41,falling
9.4986,1.6597,3.3291,0.07,1.33,-3.5,falling
9.4747,1.7795,3.1183,0.84,-2.87,1.89,falling
9.6855,1.5592,3.2381,1.19,-5.95,4.76,falling
9.616,1.6047,3.0201,0.21,-2.52,2.59,falling
9.5801,1.54,3.0513,1.54,-1.26,4.27,falling
9.1801,1.2718,2.9171,1.96,-2.24,7.56,falling
8.8975,1.4921,2.5818,-1.47,-4.06,4.83,falling
7.8509,1.2742,2.419,-3.22,1.05,-3.15,falling
7.2282,1.0275,1.8466,-3.85,9.73,-7.42,falling
9.1753,1.5017,3.1902,-0.35,-0.42,3.36,rising
9.9609,1.552,3.3937,-3.29,3.71,-6.44,rising
10.1166,1.6406,3.5446,-6.72,8.19,-4.76,rising
9.7262,1.6286,3.2405,-3.36,-1.96,-3.57,rising
10.1836,1.8082,3.6213,-1.96,-0.84,-0.35,rising
10.1764,1.7436,3.4871,-1.61,4.06,-3.08,rising
10.1764,1.7651,3.832,-1.05,-3.08,0.98,rising
10.2842,1.9328,3.5087,-0.35,2.8,1.82,rising
10.3944,1.8537,3.6668,-1.19,-1.68,0.91,rising
10.9812,1.9495,3.6811,0.07,-3.78,1.33,rising
9.331,1.6717,3.5638,0.35,0.28,-1.05,rising
9.2735,1.6214,3.1063,-1.4,-2.1,-2.38,rising
9.4196,1.7484,3.2836,-0.35,-0.07,0.7,rising
9.5154,1.5089,3.171,-1.33,-3.64,0.7,rising
9.5418,1.7196,3.0369,0.07,1.96,-0.28,rising
9.6735,1.7579,3.3315,0.21,-0.14,0.28,rising
10.1501,1.8657,3.4153,0.28,0.98,1.82,rising
11.5608,2.213,4.3302,-0.84,-7.42,1.26,rising
11.4745,2.0501,3.8584,-5.95,11.69,-1.61,rising
10.4878,1.7316,4.0787,-8.75,7.84,-6.23,rising
9.4412,1.6645,3.5973,-5.18,5.67,2.73,rising
9.4028,1.8561,3.8248,1.96,2.38,-0.07,rising
9.5705,1.7484,3.6931,3.71,9.59,-1.12,rising
9.2256,1.7987,3.8751,1.4,-7.91,0.0,rising
9.1442,1.7244,3.5877,2.38,-4.76,3.08,rising
6.9168,1.3125,2.3806,5.39,-11.41,1.4,rising
6.2366,1.0227,2.3136,3.64,-12.25,8.33,rising
9.8914,1.6837,3.2045,3.22,1.47,11.2,rising
9.513,1.5113,3.1016,1.54,0.14,1.61,rising
9.6016,1.4825,2.8956,1.75,1.12,1.33,rising
9.6711,1.4945,3.1159,0.14,-3.43,0.49,rising
9.6088,1.4083,3.0632,-1.19,-0.98,0.77,rising
9.6376,1.4849,3.1327,-0.21,3.15,-1.54,rising
9.5873,1.4514,3.0968,-0.14,0.14,0.0,rising
9.5777,1.4921,3.1662,-0.28,-1.19,1.19,rising
9.7094,1.4729,3.1399,0.14,1.96,1.12,rising
9.5298,1.5663,3.1255,-0.21,2.45,0.28,rising
9.3214,1.4873,3.1279,-0.84,10.92,-3.78,rising
8.8209,1.3388,3.4009,-2.38,-4.55,-0.98,rising
7.4725,1.3029,2.6489,-1.4,-5.46,-2.66,falling
6.7156,1.0849,2.3016,-3.5,9.45,-8.89,falling
9.6136,1.8346,3.6572,-4.13,7.49,-0.42,falling
9.5202,1.6885,3.6548,-5.67,8.82,-8.68,falling
9.719,1.7627,3.9494,-5.25,2.66,-3.08,falling
9.6735,1.9448,3.7937,-2.24,-0.98,-0.49,falling
9.5082,1.7124,3.7099,-0.49,-5.25,0.98,falling
9.7022,1.849,3.8632,3.64,-8.26,0.35,falling
10.4447,1.9998,3.9254,2.73,-4.13,3.01,falling
10.5572,1.9687,3.8823,2.59,0.21,1.75,falling
