Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
68;10.6291;2.68003;5.23791;-12.6;17.35999;9.45;994.43286;0;0;0;0;0
69;11.12247;2.62494;5.90851;-2.1;14.21;7.21;994.448;0;0;0;0;0
70;10.50695;2.03816;5.03194;1.19;14.06999;1.54;994.48511;0;0;0;0;0
71;10.69616;2.13636;5.50854;7.42;7.77;3.15;994.51196;0;0;0;0;0
72;9.85311;1.93757;5.18522;-0.21;0.49;5.67;994.5105;0;0;0;0;1
73;9.39327;2.00224;4.78525;3.08;0.49;0.21;994.52905;0;0;0;0;0
74;10.93087;2.36867;5.19719;-4.97;0.63;0.91;994.55249;0;0;0;0;0
75;11.96312;2.87642;6.19831;7.49;-5.18;-4.97;994.55762;0;0;0;0;0
76;10.64586;2.51477;5.8199;4.83;-7.42;9.45;994.60156;0;0;0;0;0
77;10.79914;2.80217;5.9612;1.68;-16.44999;6.02;994.6333;0;0;0;0;0
78;10.65065;2.37825;5.27144;14.0;-31.21999;-8.61;994.70874;0;0;0;0;0
79;8.75859;2.2609;3.35542;6.02;-42.76999;-9.8;994.73804;0;0;0;0;0
80;7.62814;1.50886;1.98547;-18.68999;-31.28999;-20.57999;994.74194;0;0;0;0;0
81;8.20294;2.03337;2.05972;4.2;-27.99999;-15.60999;994.72217;0;0;0;0;0
82;6.02826;1.71723;1.42983;8.4;-38.35999;-21.41999;994.71045;0;0;0;0;0
83;6.47134;2.14594;0.46942;1.33;-40.31999;-15.46999;994.69287;0;0;0;0;0
84;7.20661;2.8357;-0.17484;4.48;-31.07999;-4.97;994.64526;0;0;0;0;0
85;9.16813;3.753;-0.98435;1.26;-17.42999;-6.09;994.61182;0;0;0;0;0
86;9.68306;3.66917;-0.35207;-4.83;-5.46;-0.56;994.59912;0;0;0;0;0
87;9.18011;3.0297;-0.22274;6.79;-3.57;-2.73;994.63086;0;0;0;1;0
88;9.60403;4.10027;-1.08973;7.77;-0.42;1.75;994.61548;0;0;0;0;0
89;9.36213;3.42727;-0.84065;5.32;1.19;-6.93;994.61011;0;0;0;0;0
90;9.31663;3.98052;-0.68498;3.71;6.72;-4.27;994.61133;0;0;0;0;0
91;9.43398;4.40205;0.02635;22.74999;-0.14;-6.09;994.6001;0;0;0;0;0
92;8.55022;4.44516;-1.80824;33.45999;-17.56999;-5.6;994.6001;0;0;0;0;0
93;6.55517;2.74948;-2.98659;9.31;2.1;16.72999;994.48169;0;0;0;0;0
94;6.0091;1.47054;-1.17116;-14.06999;45.28999;35.41999;994.48779;0;0;0;0;0
95;6.28214;1.08015;0.79275;-33.03999;56.62998;4.48;994.49585;0;0;0;0;0
96;8.04248;2.94348;2.04056;-19.73999;55.36998;9.52;994.52637;0;0;0;0;0
97;9.58726;2.82133;2.20102;-13.16;44.23998;-4.34;994.50269;0;0;0;0;0
98;10.41115;3.35063;3.58534;-11.76;38.63998;5.18;994.50903;0;0;0;0;0
99;9.73096;3.41769;4.08351;-15.18999;26.31999;3.22;994.50391;0;0;0;0;0
100;11.07936;3.35782;5.25228;-11.83;14.27999;22.46999;994.50049;0;0;0;0;0
101;11.9248;2.75906;5.28581;-5.81;12.46;6.93;994.5083;0;0;0;0;0
102;11.52004;2.52675;5.50376;-2.24;10.64;5.46;994.48242;0;0;0;0;0
103;10.7225;2.00942;5.61153;-9.8;4.41;3.5;994.50977;0;0;0;0;0
104;10.43271;2.22018;4.93135;1.75;2.59;1.4;994.52368;0;0;0;0;1
105;9.01246;2.07169;4.50024;8.68;3.99;-1.12;994.57812;0;0;0;0;0
106;8.22689;1.54;3.72186;2.24;-6.09;-0.63;994.57104;0;0;0;0;0
107;8.58136;1.91841;3.4632;5.81;-28.06999;-4.27;994.50513;0;0;0;0;0
108;9.12742;1.70525;4.01884;-1.26;-22.67999;0.14;994.45068;0;0;0;0;0
109;11.6877;2.99377;3.49912;-8.75;-24.14999;8.82;994.39795;0;0;0;0;0
110;12.2146;2.16989;3.30513;-10.29;-15.18999;11.62;994.39282;0;0;0;0;0
111;11.37395;2.31359;3.37458;2.94;-10.29;8.68;994.38892;0;0;0;0;0
112;10.61233;1.74836;3.50631;2.31;-15.74999;5.39;994.43091;0;0;0;0;0
113;11.36437;1.49449;2.85965;-2.45;-15.67999;5.11;994.43042;0;0;0;0;0
114;11.09613;1.54479;2.50998;-3.71;-11.27;-2.8;994.45337;0;0;0;0;0
115;10.46145;1.63819;2.14833;-1.61;-7.56;-15.53999;994.47803;0;0;0;0;0
116;10.44468;2.1148;2.4046;4.97;-3.29;-12.39;994.47925;0;0;0;0;0
117;8.8496;1.8753;1.9256;0.77;-15.95999;-12.53;994.48193;0;0;0;0;0
118;7.55629;1.55916;1.46815;4.2;-24.77999;-16.23999;994.50757;0;0;0;0;0
119;6.95035;1.66933;1.1065;7.56;-25.68999;-19.52999;994.50049;0;0;0;0;0
