Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
47;10.93895;3.604;4.95804;3.50189;-26.48161;5.02777;992.23669;-16.70346;65.61776;0.6046;0;0
48;10.20654;3.21234;4.4478;17.47893;-49.06459;-2.54059;992.24072;-16.09428;66.45338;0.61616;0;0
49;7.05109;2.41344;2.13856;25.53556;-65.05579;1.6098;992.19373;-18.13599;73.12769;0.72418;0;0
50;5.56709;1.4307;0.2647;8.32366;-50.95668;-1.38092;992.1264;-14.39709;87.27779;0.954;0;0
51;5.07841;1.30613;0.13295;11.25335;-32.2189;-7.91168;992.16125;-14.41876;88.50038;0.97465;0;0
52;5.3497;1.95711;-0.48868;9.48333;-19.95085;-8.27789;992.14252;-20.01758;84.7807;0.91453;0;0
53;7.66433;2.99914;-2.47513;2.58636;-12.80974;0.02289;992.14124;-20.42407;72.1026;0.71201;0;0
54;8.75847;3.35307;-0.98275;16.50237;-3.47137;4.96673;992.18164;-20.82933;83.5979;0.89578;0;0
55;9.30943;3.50758;-1.31512;-10.0479;-3.04413;1.18256;992.10638;-20.45918;81.95918;0.86894;1;0
56;9.00401;3.45368;-1.35884;-2.96783;4.21905;2.03705;992.11664;-20.77058;81.41799;0.86047;0;0
57;9.01598;3.19497;-1.36303;-5.10406;-1.76239;1.5564;992.15656;-19.30974;81.40318;0.85893;0;0
58;9.56994;3.60699;-1.83673;-12.00103;-5.30242;-0.7019;992.14575;-20.31218;79.13549;0.82323;0;0
59;8.75308;3.34948;-1.378;1.4267;-7.98797;-1.80054;992.19861;-20.70695;81.05334;0.85453;0;0
60;4.62627;1.72235;-1.53909;-13.09966;5.80596;7.11059;992.17188;-19.45634;71.59843;0.70235;0;0
61;3.59022;0.88812;-0.52461;3.19671;39.74148;15.83861;992.18481;-13.75406;81.68668;0.85956;0;0
62;5.11794;1.28458;0.65696;-24.75736;57.86891;10.52856;992.15485;-13.97971;82.68528;0.87645;0;0
63;8.22787;2.5943;1.905;-11.75689;60.73756;18.21898;992.20605;-17.07596;76.96397;0.78438;0;0
64;11.42823;2.93686;3.21713;-26.22221;60.92066;7.59887;992.21582;-13.89423;74.27771;0.73695;0;0
65;11.71928;2.98776;4.94127;-9.8648;26.19169;3.87573;992.20245;-13.22002;67.13795;0.62178;0;0
66;11.19707;2.58113;4.91432;-13.46587;18.86748;-0.09155;992.25391;-11.91919;66.30362;0.60677;0;0
67;11.55579;2.7542;5.22574;0.93841;21.61406;-11.9934;992.21246;-12.25247;65.66666;0.59734;0;0
68;10.82397;2.88775;5.53715;-4.92096;6.47735;-8.45336;992.24219;-13.36116;62.90737;0.5569;0;0
69;10.62095;3.20395;5.05805;-75.53857;65.74243;2.47192;992.23431;-15.23529;64.53465;0.58515;0;0
70;9.46394;2.31643;6.57858;40.18399;-8.65936;-0.45776;992.27448;-11.36378;55.19602;0.44042;0;0
71;8.24344;2.52723;3.94296;-10.16997;-3.65448;-10.04027;992.24579;-15.45963;64.43753;0.58412;0;1
72;7.41401;2.55538;4.30468;18.39445;-2.43377;-8.57543;992.19861;-16.59773;59.85995;0.51881;0;0
73;10.03706;3.51357;4.41666;2.6474;-10.67351;-7.72094;992.2605;-17.76601;66.24879;0.61644;0;0
74;12.38702;3.99147;5.49822;13.02337;7.45391;-2.59399;992.27026;-16.41077;66.06502;0.61083;0;0
75;12.43553;4.92091;6.01505;5.45501;6.23321;-8.14819;992.28766;-19.60741;64.18702;0.58981;0;0
76;10.45866;4.38852;5.47487;10.8261;-19.46257;6.07299;992.27173;-20.39267;62.36898;0.56529;0;0
77;9.66576;3.4968;4.65382;9.54436;-27.45817;3.14331;992.24792;-18.05379;64.29037;0.58755;0;0
78;8.66564;2.83744;3.56866;12.84026;-33.86686;-4.73022;992.17847;-16.84459;67.61727;0.63555;0;0
79;6.70734;2.3829;2.12479;18.15031;-32.46305;-7.6599;992.15997;-18.71022;72.42255;0.71396;0;0
80;5.35629;1.88824;1.08455;10.52093;-30.69303;-9.55199;992.15912;-19.06081;78.55339;0.81243;0;0
81;5.0305;1.98765;0.71685;10.21575;-27.5192;-13.94652;992.14362;-21.36382;81.88995;0.86862;0;0
82;6.04559;2.79972;0.12816;8.44573;-17.81462;-9.00268;992.16315;-24.84398;88.78559;0.98077;0;0
83;8.32668;3.94535;-0.54018;1.06049;-5.85174;-1.86157;992.13214;-25.30603;86.28822;0.94147;0;0
84;8.69139;4.03578;-1.43669;-24.26908;-13.54216;12.96996;992.13934;-24.61372;80.61388;0.85173;0;0
85;9.15851;3.74533;-0.29943;29.2587;-11.65007;4.85229;992.12958;-22.23116;88.1274;0.96975;0;0
86;8.56324;3.82977;0.3162;-8.88824;1.89972;-6.19506;992.05646;-24.08127;87.88528;0.96631;0;0
87;9.07407;4.2364;0.28267;8.07952;-2.92206;0.7019;992.13342;-25.01576;88.21576;0.97178;0;0
88;8.88842;4.03818;0.22458;0.87738;-4.3869;1.12915;992.12299;-24.42632;88.55267;0.977;0;0
89;8.8483;3.93996;0.04012;-1.19781;-4.63104;-2.16675;992.11786;-24.0022;89.74018;0.99586;0;0
90;9.00341;4.18969;-0.08324;-2.17438;-0.48065;0.15259;992.1145;-24.95375;89.47028;0.99162;0;0
91;8.93693;4.18969;0.29704;0.08392;-2.25067;2.9602;992.15253;-25.10533;88.09634;0.96992;0;0
92;8.93454;4.12442;0.1084;-3.15094;-1.33514;-1.06811;992.13214;-24.77768;89.30492;0.98899;0;0
93;8.79919;4.1322;-0.08264;-0.40436;1.83868;-1.92261;992.13446;-25.15431;89.46188;0.9915;0;0
94;8.78482;3.91541;-0.22637;-3.39508;6.0501;-0.15259;992.12616;-24.01555;88.52389;0.97647;0;0
95;8.62971;3.78965;-0.19044;-6.14166;15.26641;1.98364;992.16443;-23.70303;88.7358;0.9798;0;0
96;8.47161;4.07231;0.76416;-1.62506;12.6419;3.63159;992.1438;-25.58311;84.84574;0.91897;0;0
97;9.24595;3.8651;1.72534;-5.71441;12.09258;10.65063;992.15613;-22.33966;79.42987;0.83033;0;0
98;10.35446;4.26874;2.34158;-4.85992;11.11602;-2.9602;992.15356;-21.90544;77.25733;0.79535;0;0
99;9.52802;4.07651;1.47262;4.29535;-6.58416;-6.19506;992.12976;-22.9198;81.21407;0.85932;0;0
100;8.35244;3.58603;0.22517;-5.77545;-5.42449;-8.39233;992.10919;-23.22823;88.45573;0.97524;0;0
101;6.466;3.177;0.50664;35.17911;-0.17548;-2.59399;992.23541;-26.09741;85.51974;0.92985;0;0
102;2.95243;1.28458;0.07067;-4.43267;18.19609;-5.88989;992.10809;-23.50743;88.62888;0.97806;0;1
103;3.11532;1.29116;0.71565;11.00921;12.33672;-2.28882;992.17291;-21.99551;77.06251;0.79241;0;0
104;6.77561;3.67407;0.12516;-13.3438;31.44071;7.84301;992.13635;-28.4646;88.94171;0.98376;0;0
105;9.83883;4.65022;3.64053;-15.41899;47.37087;16.44896;992.17249;-23.9062;69.69469;0.68275;0;0
106;10.93895;4.30887;5.04308;-27.62601;33.39383;4.79126;992.21375;-19.68298;65.24933;0.60579;0;0
107;10.50777;4.77;5.31736;-19.99663;28.87723;-6.50024;992.2135;-22.04999;63.15871;0.58151;0;0
108;10.46165;4.56638;6.58278;-9.13238;22.22441;5.09643;992.24921;-20.27609;57.82071;0.50043;0;0
109;9.74361;4.20826;5.54673;-12.73345;13.55742;-1.19018;992.20801;-20.57323;60.3485;0.53683;0;0
110;11.57435;5.22095;6.79478;-11.93999;18.3792;1.12915;992.23309;-21.25607;59.58475;0.52818;0;0
111;11.99536;5.07123;8.30393;15.95305;-4.57;2.28882;992.24329;-19.16757;55.30663;0.46237;0;0
112;10.42572;4.64364;6.96485;12.96233;-10.3073;-1.61743;992.24329;-20.32266;56.25528;0.47908;0;0
113;9.20163;4.33582;6.19291;17.17375;-12.80974;-1.19018;992.23541;-21.35114;56.05854;0.47998;0;0
114;8.98005;4.15496;5.98331;13.45061;-22.8195;5.27954;992.22479;-21.05902;56.32492;0.48255;0;0
115;8.54407;3.41895;4.55021;12.10784;-31.24234;1.25122;992.16571;-19.45276;61.96212;0.55678;0;0
116;7.08642;3.00393;3.40398;16.13616;-39.60415;-11.38305;992.16272;-20.91199;64.34262;0.59553;0;0
117;5.16824;2.25055;1.83254;11.07024;-26.96989;-12.23754;992.15973;-22.31429;70.47666;0.69084;0;0
118;4.51428;2.31164;1.27619;13.45061;-26.48161;-4.1809;992.15424;-26.23224;74.21435;0.75598;0;0
119;5.88749;2.84104;0.85578;11.92473;-28.06852;-4.42505;992.12109;-25.52618;81.72961;0.8702;0;0
120;9.36991;4.04177;0.65337;-17.8604;-12.5656;-7.04955;992.12598;-23.28276;86.01121;0.9361;0;0
121;8.03084;4.54362;0.38507;33.16495;-11.89422;6.4392;992.20312;-29.47177;87.25481;0.9583;1;0
122;8.55246;4.4526;1.34446;1.85394;-4.26483;-1.49536;992.16168;-27.21703;81.06611;0.8619;0;0
123;8.81596;4.49152;0.50724;0.20599;-8.78143;0.88501;992.14337;-26.95949;86.70701;0.9488;0;0
124;8.61055;4.37414;0.56893;1.36566;-5.30242;0.76294;992.13318;-26.88013;86.21978;0.94119;0;0
125;8.4249;4.12561;0.12397;0.26703;-1.88446;-2.65503;992.12;-26.08821;89.157;0.98679;0;0
126;8.87704;4.49871;-0.32698;-5.65338;5.19561;-3.20434;992.12976;-26.85933;87.89049;0.96716;0;0
127;8.24703;4.44241;-0.02455;-13.28276;10.20049;-1.92261;992.12469;-28.30983;89.82941;0.99738;0;0
128;6.77621;3.90104;-0.08564;-17.73833;23.68925;4.91333;992.14996;-29.92688;89.27593;0.98905;0;0
129;4.6634;2.50028;1.09952;-21.64457;49.5071;6.86645;992.12976;-27.55742;76.73323;0.79655;0;0
130;5.11375;2.31703;2.42961;-17.92143;53.65749;4.85229;992.14996;-22.25706;64.58694;0.60283;0;0
131;5.48325;2.90033;3.88906;-16.94487;37.8494;6.13403;992.17847;-23.33736;54.65339;0.46881;0;0
132;7.54037;3.84235;3.66987;-20.97319;31.44071;18.28001;992.17529;-24.61658;64.04796;0.60215;0;0
133;8.82434;4.0783;5.83598;-14.93071;32.35624;7.4768;992.21667;-21.08104;56.52132;0.48529;0;0
134;9.17049;3.45368;6.77322;-7.54546;17.95195;8.5144;992.19354;-16.85355;53.55087;0.43141;0;0
135;9.21301;3.39799;6.90497;-9.01031;10.3836;5.34057;992.22369;-16.44308;53.14917;0.42479;0;0
136;8.92795;3.61717;7.5757;4.11224;7.63702;-1.25122;992.22626;-17.16716;49.68414;0.38182;0;0
137;8.83333;3.67826;7.37508;-0.46539;11.6043;-8.14819;992.26428;-17.72615;50.14098;0.38953;0;0
138;10.30715;3.92379;8.51353;-21.3394;13.8626;-0.7019;992.24158;-16.35748;50.44386;0.38894;0;0
139;8.88842;3.88247;6.99779;8.26263;6.17217;-10.9558;992.30847;-18.94229;51.7869;0.41491;0;1
140;8.04342;3.73395;6.49534;8.87298;-19.46257;1.92261;992.23901;-19.85806;51.07792;0.4091;0;0
141;9.4855;4.39031;7.30861;10.58196;-15.25115;-4.1809;992.22308;-20.13477;52.38564;0.42696;0;0
142;9.56874;4.53823;7.28225;9.36126;-10.91765;0.21362;992.24414;-20.67706;52.72718;0.4334;0;0
143;9.25134;4.33821;6.5684;4.41742;-9.45281;2.34985;992.24414;-20.9247;54.62545;0.45926;0;0
144;8.9549;4.39151;6.6762;13.45061;-21.96501;4.36401;992.22308;-21.46294;53.29415;0.44374;0;0
145;8.96268;3.96452;6.05517;20.16447;-36.49136;4.05883;992.21332;-20.1293;55.95712;0.47438;0;0
146;7.77273;3.59202;4.50829;22.66691;-46.13491;-1.7395;992.17145;-21.78932;59.88567;0.53412;0;0
147;6.21926;2.53741;2.29487;11.98577;-46.37905;-6.92748;992.15106;-20.94513;69.74625;0.6767;0;0
148;5.16944;2.38709;1.6936;18.94377;-32.52408;-7.29369;992.14825;-23.69284;71.86026;0.71491;0;0
149;4.54063;2.17809;0.93543;20.34758;-41.31314;-5.34057;992.13806;-25.16519;78.35912;0.81737;0;0
150;7.03372;3.52914;-0.76655;7.28607;-34.78238;-2.89917;992.14575;-26.50966;83.7803;0.90305;0;0
151;8.52132;4.54602;-0.38028;-1.31988;-9.81902;0.64087;992.13507;-28.05573;87.44475;0.96066;0;0
152;8.01827;4.24599;1.20373;10.88714;-5.24139;4.11987;992.18103;-27.63976;81.46233;0.86848;0;0
153;9.19564;4.10046;-0.94562;-0.09918;-9.02557;-1.49536;992.0658;-23.92084;84.12875;0.90649;1;0
154;8.4237;4.27653;-0.01976;3.13568;-0.96893;-3.69262;992.11536;-26.91585;89.86558;0.99791;0;0
155;7.9458;3.92319;-0.57432;-3.57818;2.08282;-2.65503;992.11786;-26.21838;85.8659;0.93533;0;0
156;8.2632;4.04177;-0.93124;-18.71489;17.70781;0.57983;992.11896;-25.92216;83.57004;0.89928;0;0
157;9.90111;4.96523;-0.22997;-12.97759;18.44023;-3.08227;992.13763;-26.62674;88.66947;0.97924;0;0
158;7.86975;4.32324;-0.17786;-11.93999;21.06474;4.11987;992.15912;-28.77599;88.70528;0.9802;0;0
159;3.75791;2.07149;-0.30482;-24.51322;36.75076;7.53784;992.16125;-28.78574;85.36257;0.92914;0;0
160;2.61167;0.77673;2.15354;-10.23101;62.69068;13.64135;992.18677;-12.9234;50.49164;0.37992;0;0
161;6.21327;2.98956;3.16383;-14.44243;50.42263;2.22778;992.18994;-23.20816;63.01459;0.58296;0;0
162;9.92147;4.21904;4.44421;-17.12798;37.72733;6.19506;992.18695;-21.21059;65.87055;0.61889;0;0
163;9.35075;4.10046;6.56481;-25.12358;25.21513;5.27954;992.22327;-19.74301;54.92876;0.45918;0;0
164;10.08676;4.27473;6.81933;-10.53619;12.45879;6.86645;992.2027;-19.34561;55.93866;0.47154;0;0
165;9.59689;3.7621;7.29663;-5.1651;7.27081;-4.36401;992.23309;-17.33098;52.75384;0.42224;0;0
166;9.15133;3.75012;6.74746;5.51605;7.75909;-3.87573;992.22327;-18.25403;53.59787;0.43642;0;0
167;8.64947;3.59202;7.50384;27.42765;-1.76239;2.04468;992.27515;-17.4162;49.05678;0.37473;0;0
168;9.92207;3.93936;6.39353;-22.377;12.09258;-0.27466;992.22076;-18.45607;57.20329;0.4862;0;1
169;8.85069;4.10166;6.80615;10.94817;-3.10516;-2.04468;992.25922;-20.1716;52.43984;0.4278;0;0
170;7.55893;3.71419;5.44492;-0.8316;-16.8991;-0.64087;992.22607;-21.737;54.23368;0.45708;0;0
171;7.52899;3.83576;5.1916;10.52093;-14.27458;-4.97436;992.25177;-22.75412;55.41186;0.47651;0;0
172;11.39649;5.54733;7.30861;-0.22125;3.4256;1.86157;992.25153;-22.28085;57.32782;0.50047;0;0
173;10.94734;5.11554;7.58109;15.46477;-16.59392;0.94604;992.26471;-21.01497;55.29719;0.46855;0;0
174;9.30763;4.45679;6.02223;11.43645;-27.58024;2.34985;992.25031;-21.90109;57.09629;0.49598;0;0
175;8.66624;3.9711;5.46768;9.30022;-30.08268;6.01196;992.21289;-21.18341;57.75148;0.50246;0;0
176;8.71176;3.53752;4.16274;17.47893;-35.5148;1.37329;992.21503;-20.12207;64.46011;0.59518;0;0
177;6.76723;2.58592;2.35356;16.68547;-45.64663;-5.88989;992.19373;-19.84549;70.82296;0.69102;0;0
178;4.75323;1.99903;1.47022;21.26311;-37.04068;-8.39233;992.15845;-21.88933;72.8126;0.72581;0;0
179;4.56878;2.09724;0.67133;16.62444;-25.93229;-9.49096;992.15253;-24.4257;81.64082;0.86763;0;0
180;6.39533;3.40338;1.71636;7.65228;-18.73015;-6.98852;992.13977;-27.20215;74.97713;0.76946;0;0
181;8.14163;4.14358;-0.65097;6.91986;-14.09148;-2.7771;992.18634;-26.89951;85.4286;0.92892;1;0
182;8.12906;4.558;0.13834;8.99505;-9.26971;-0.7019;992.14233;-29.276;89.02505;0.98516;0;0
183;8.88363;4.49691;-0.6348;-1.31988;-1.94549;-2.59399;992.099;-26.78987;85.91273;0.93637;0;0
184;7.76854;4.05614;0.45993;-6.81304;-0.05341;2.47192;992.11853;-27.52907;86.61179;0.94759;0;0
185;8.6878;4.53404;-0.46113;-10.53619;6.23321;2.16675;992.15192;-27.52638;86.96172;0.953;0;0
186;9.42321;4.81192;-0.60546;-9.80376;4.21905;1.67847;992.15167;-27.00313;86.3237;0.94287;0;0
187;7.19362;4.11843;-0.48269;-17.37212;2.87628;9.18578;992.15698;-29.73615;86.16123;0.94187;0;0
188;3.80941;1.9619;-0.13714;-20.48491;20.8206;14.06859;992.16974;-27.23398;87.93821;0.96801;0;0
189;2.92608;1.09054;1.36722;-15.11382;43.22049;16.08275;992.15466;-18.65758;64.95551;0.59892;0;0
