Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;Mag;UP;DOWN
53;5.90905;3.12071;2.79433;13.35143;-30.84562;-12.10021;992.28387;-25.52132;64.69103;0.61421;0;0
54;7.00378;3.84115;3.00153;0.83923;-25.16935;6.21032;992.23029;-26.75256;66.802;0.64825;0;0
55;8.19314;3.62735;4.21125;-0.80872;-4.47845;-3.43322;992.23755;-21.4926;62.79695;0.57464;0;0
56;8.32309;2.85421;4.99996;-0.68664;-7.65228;2.05993;992.22968;-16.38135;59.00534;0.50595;0;0
57;8.4243;3.21833;3.46386;7.43102;-5.33294;-3.79944;992.22162;-19.45969;67.64876;0.64144;0;0
58;8.14403;4.01602;3.10454;5.59997;-8.01849;1.75476;992.25726;-24.73932;69.13293;0.67649;0;0
59;8.1057;3.77887;2.97698;-5.44738;-4.60052;5.59997;992.24945;-23.63504;69.83323;0.68416;0;0
60;8.34704;3.87648;3.37882;9.20104;-6.85882;5.78308;992.24921;-23.29102;67.96226;0.65536;0;0
61;8.25542;4.05315;1.92537;9.75036;-0.45013;7.98034;992.24414;-25.55418;76.87189;0.79509;0;0
62;5.06823;2.34278;1.15522;4.86755;7.17925;13.35143;992.22607;-24.26053;77.15974;0.79739;0;0
63;2.75839;0.63959;1.48699;-2.02942;-3.62396;24.03257;992.2384;-11.53583;61.67181;0.53506;0;0
64;5.15387;1.5912;2.16431;-0.4425;7.11822;30.13608;992.27405;-15.88937;67.22054;0.62761;0;0
65;9.87476;2.67096;3.94356;-5.69152;35.0723;30.99057;992.2439;-14.10057;68.23035;0.6403;0;0
66;11.26354;2.10443;5.86233;-6.36291;38.06301;18.05113;992.32507;-9.41019;62.50437;0.54453;0;0
67;10.47842;1.82595;5.86174;-2.82287;27.74808;-0.56457;992.30444;-8.64726;60.77691;0.51734;0;0
68;10.55508;1.78583;6.51211;-14.41954;11.87896;8.71276;992.34253;-8.1938;58.32689;0.48029;0;0
69;10.53531;2.07928;6.54864;-16.49474;9.01031;-0.07629;992.36267;-9.51543;58.13535;0.47935;0;0
70;9.88614;2.03316;6.4103;-5.93566;1.68609;-5.32531;992.37036;-9.79041;57.0401;0.46387;0;0
71;9.13336;2.18707;4.72089;-18.63096;7.66754;-8.74328;992.37799;-12.00914;62.66628;0.55088;0;0
72;8.93094;2.19605;4.73167;-3.55529;-3.92913;-7.2174;992.41412;-12.25877;62.08508;0.54251;0;0
73;8.14702;2.04035;4.77958;-5.81359;6.87408;-5.9967;992.35974;-12.18927;59.60131;0.50539;0;0
74;7.92065;1.83613;5.39941;1.81579;6.01959;-6.91223;992.35187;-10.84335;55.71823;0.44679;0;0
75;8.24763;2.37512;5.4569;5.59997;0.8316;-9.10949;992.37738;-13.50476;56.51009;0.46347;0;0
76;9.007;2.60628;5.79167;7.06481;-1.91498;-1.23596;992.3493;-13.67908;57.25823;0.47449;0;0
77;11.0749;3.22731;6.92233;0.16785;4.92096;-0.99182;992.31873;-13.88017;57.99266;0.48545;0;0
78;10.94494;3.24707;7.21338;-0.93079;-1.18256;-4.22668;992.38965;-13.91286;56.61268;0.46585;0;0
79;9.86099;2.49489;6.85466;4.2572;-13.45061;-4.47082;992.34167;-11.73598;55.1957;0.44116;0;0
80;9.3765;2.34937;6.31927;-4.10461;-16.62444;-8.98742;992.31549;-11.73772;56.02209;0.45281;0;0
81;8.29614;2.45417;5.70723;-15.213;-19.49309;-12.52746;992.30786;-13.69702;55.47445;0.44934;0;0
82;7.44575;2.13198;4.00404;-9.4757;-17.72307;-13.56505;992.29999;-14.1539;61.73031;0.54076;0;0
83;5.29221;1.13845;3.55369;-0.62561;-6.55364;-24.49034;992.23602;-10.12572;56.11884;0.45121;0;0
84;5.0844;1.47561;2.66257;11.27623;-16.68547;-23.81895;992.25391;-14.41867;62.36008;0.5507;0;0
85;5.26886;2.58352;2.42782;15.06041;-29.38077;-19.54649;992.24579;-24.00508;65.26039;0.6177;0;0
86;6.53726;3.70281;1.5906;2.182;-23.03312;-1.84631;992.22284;-28.82661;76.32494;0.79288;0;0
87;7.63858;3.94535;2.22121;-26.74863;1.44195;11.33727;992.23798;-26.37958;73.78621;0.74985;0;0
88;8.96388;3.98069;3.31055;14.99938;-16.50237;2.05993;992.26367;-22.61555;69.72974;0.68019;0;0
