Time,Ax,Ay,Az,Gx,Gy,Gz,pitch,roll,BAR,totA,status,mov,prob
1672139196239,1.602268099784851,9.120234489440918,3.0560450553894043,-4.5499982833862305,-6.929997444152832,0.0,-69.27606018691844,27.66778264767535,0.005126953125,9.751171805816254,1,moving,0
1672139196356,1.8609302043914795,9.216035842895508,2.5267457962036133,1.1199995279312134,-5.319998264312744,0.4199998676776886,-71.19621712262887,36.37138024065165,-0.152099609375,9.73564698424218,1,moving,0
1672139196480,1.815424919128418,8.969348907470703,1.5878980159759521,-4.689998149871826,-5.739997863769531,-0.13999994099140167,-74.9490247491878,48.824779975518595,-0.19677734375,9.287971122375364,1,moving,0
1672139196627,1.3747413158416748,6.904841423034668,1.5855029821395874,-17.989992141723633,-3.4999988079071045,1.2599996328353882,-73.0950153043412,40.92756199458993,-0.212158203125,7.216686806915694,1,moving,0
1672139196740,1.3819262981414795,5.446274757385254,2.354304313659668,-26.80998992919922,-2.659999132156372,-4.969998359680176,-63.3778847619326,30.412023015149853,-0.346435546875,6.092157075104296,1,moving,0
1672139196859,1.3819262981414795,5.956413745880127,3.360212564468384,-26.389989852905273,7.419997215270996,0.6999997496604919,-58.617712785529086,22.355482341927097,-0.427490234375,6.977077718071938,1,moving,0
1672139196977,1.566342830657959,7.30001974105835,3.982917547225952,-43.399986267089844,10.079997062683105,-7.419997215270996,-59.61782624607474,21.467987114417724,-0.498291015625,8.462112636392616,1,moving,0
1672139197093,1.1064990758895874,8.447234153747559,6.591094017028809,-62.999977111816406,13.649994850158691,-9.659996032714844,-51.64947481150823,9.529832302221918,-0.554443359375,10.771379920627473,1,moving,0
1672139197204,0.9125024676322937,9.158555030822754,7.855664253234863,-34.649986267089844,8.329997062683105,-3.0099987983703613,-49.189134037222765,6.625700644887534,-0.59716796875,12.10054758536141,1,moving,0
1672139197321,0.910107433795929,8.162226676940918,8.29874324798584,-21.909992218017578,0.8399997353553772,-4.899998188018799,-44.35362243915148,6.258508899349061,-0.64892578125,11.675589037081048,1,moving,0
1672139197450,1.01788330078125,11.208691596984863,4.787644386291504,52.359981536865234,29.32999038696289,6.159997940063477,-66.4098915804661,12.002725930606575,-0.576171875,12.23079688736253,0,static,0
1672139197561,0.36643800139427185,8.337063789367676,8.277188301086426,2.9399991035461426,-0.48999980092048645,1.6799994707107544,-45.17843981426221,2.5348765780180234,-0.50390625,11.753840036706878,0,static,0
1672139197667,1.2741504907608032,7.846084117889404,8.126301765441895,-5.039998531341553,3.9899983406066895,5.45999813079834,-43.64732603087084,8.911049212535422,-0.41845703125,11.367553643644106,0,static,0
