timestamp,ax,ay,az,gx,gy,gz,pitch,roll,BAR,totacc,status,mov,prob
1672180968792,-5.5420756340026855,-4.442761421203613,6.583909034729004,0.27999988198280334,-0.2099999338388443,0.7699997425079346,27.304714745314044,-40.089353550630676,1003.510009765625,9.68507044663732,0,static,0.077
1672180968905,-5.50375509262085,-4.552932262420654,6.562353610992432,-1.3999994993209839,2.5199992656707764,-0.34999987483024597,27.994508801979944,-39.98609496533117,1003.5869140625,9.699742121388908,0,static,0.085
1672180969022,-5.561235427856445,-4.634363174438477,6.682104587554932,1.81999933719635,0.9799996018409729,0.9799996018409729,28.06120585740615,-39.76919285430569,1003.622314453125,9.851658907801253,0,static,0.076
1672180969138,-5.532495498657227,-4.409231185913086,6.502478122711182,1.7499994039535522,0.4199998676776886,-0.34999987483024597,27.314008342242104,-40.39209303172362,1003.622802734375,9.608956646266467,0,static,0.080
1672180969256,-5.333708763122559,-4.734953880310059,6.698869705200195,-3.289998769760132,-4.199998378753662,2.5199992656707764,28.940895795731183,-38.52716311535276,1003.667724609375,9.784839944818852,0,static,0.078
1672180969375,-5.580395698547363,-4.584067344665527,6.516848564147949,3.5699985027313232,-0.7699997425079346,-2.2399990558624268,28.11542670414312,-40.573536776831865,1003.62744140625,9.727476794155407,0,static,0.079
1672180969493,-5.470224857330322,-4.476291656494141,6.7395853996276855,0.7699997425079346,0.4199998676776886,0.2099999338388443,27.27977936350983,-39.06471817344218,1003.5458984375,9.76639945643369,0,static,0.077
1672180969612,-5.235512733459473,-4.646337985992432,6.308481693267822,1.4699995517730713,3.4999988079071045,1.0499995946884155,29.542978421614382,-39.68983866255816,1003.530029296875,9.423162501866756,0,static,0.097
1672180969730,-5.5636305809021,-4.476291656494141,6.674919605255127,-0.7699997425079346,0.9799996018409729,-0.2099999338388443,27.254542442253438,-39.811637302656955,1003.56201171875,9.774749304783594,0,static,0.078
1672180969848,-5.551655292510986,-4.550537109375,6.720425128936768,-3.6399986743927,-5.17999792098999,1.329999566078186,27.566087928028015,-39.5596667534884,1003.59375,9.833228278866965,0,static,0.071
1672180969965,-5.405559539794922,-4.533771991729736,6.512058258056641,3.0799989700317383,-0.4199998676776886,1.329999566078186,28.17793869828231,-39.6955445069544,1003.575439453125,9.6011491586989,0,static,0.080
1672180970082,-5.570815563201904,-4.454736709594727,6.734795093536377,-1.0499995946884155,0.06999997049570084,0.4199998676776886,27.007140026545063,-39.59650735795786,1003.54541015625,9.810001536337548,0,static,0.075
