feature,coefficient
ax,-0.1267337101992215
ay,-0.15155870881184164
az,0.35788632530840214
gx,0.010962207369555884
gy,-0.012306621883081514
gz,0.005861278495027573
pitch,-0.018814201811900157
roll,0.011329910839550683
BAR,-0.8543263075011204
totacc,-0.4671292413793665
intercept,0.58445999
