feature,coefficient
ax,1.1796753257393753
ay,-0.2682608828603684
az,0.2552888125493992
gx,-0.02714020317148294
gy,0.09250924460730625
gz,-0.23129724311108174
pitch,-0.2559359096118146
roll,-0.1423587919524084
BAR,-2.4017707942278697
totacc,-0.35223094343238065
intercept,-0.0068998
